tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
13,Inga alba,Fabaceae,798658.6003,9728361.954,25.0,False,O,3,19.8
14,Euterpe oleracea,Arecaceae,798660.2762,9728361.399,13.4,False,P,3,13.08
15,Tapirira guianensis,Anacardiaceae,798659.5098,9728362.641,20.0,False,O,3,17.17
16,Euterpe oleracea,Arecaceae,798660.2763,9728366.996,13.1,False,P,3,12.88
17,Helicostylis sp.,Moraceae,798658.4418,9728367.889,11.0,False,O,3,11.38
18,Helicostylis sp.,Moraceae,798658.4594,9728367.99,14.3,False,O,3,13.69
19,Goupia glabra,Goupiaceae,798662.8745,9728364.866,19.9,False,O,3,17.11
20,Euterpe oleracea,Arecaceae,798661.1498,9728371.959,12.7,False,P,3,12.6
21,Euterpe oleracea,Arecaceae,798659.1795,9728372.162,11.9,False,P,3,12.03
22,Inga alba,Fabaceae,798668.2709,9728367.179,16.2,False,O,3,14.91
23,Inga alba,Fabaceae,798673.4455,9728373.228,12.6,False,O,3,12.53
24,Euterpe oleracea,Arecaceae,798668.8383,9728375.495,12.7,False,P,3,12.6
